name,tag,country
Ghosterdriver,EUW,Germany
kono jorno da,RU1,Russia
Alanzq,EUW,Poland
Bülat,EUW,Italy
ShogoPASS,EUW,Poland
Cdsfaul,MMLS,Spain
ragnarosich,2165,Russia
evildeaad,EUW,Ukraine
Fizzical,3883,United Kingdom
lm So Humble,EUW,Sweden
Sergi2Vamos,EUW,Spain
pokrovac,EUW,Czech Republic
Uçan Protein,TR1,Turkey
pespscola,EUW,Portugal
jimmylihui,EUW,United Kingdom
Ye Xiu 叶修,moc,Czech Republic
Haze,5901,France
SaltySimonSE,EUW,Sweden
Cosimo,4504,Spain
Sorry,leb,Lebanon
Nawatix,EUW,Germany
PCS Elyx,pog,France
Drobene,EUW,Latvia
Teddy314,EUW,Germany
Reaper9972,EUW,Lebanon
FirstPinkBeaver,EUW,Ukraine
Bool Asha,2002,Portugal
QuickWell,EUW,Ukraine
PyRoKz,EUW,Sweden
Pettish,000,Russia
BaJAtak,EUNE,Czech Republic
Fight4RevengeLoR,TR1,Turkey
PCS Flaxeau,FROM,France
Szychu,EUW,Poland
Exonarf,euw,Italy
Spaiikz,EUW,United Kingdom
Akarey,EUW,Latvia
Ultraman1996,EUW,Belgium
GRANRODEO,TR1,Turkey
GrinexXx,FCR79,Belarus
StratosGOD,moc,Belarus
pipamachado,EUW,Portugal
Meliador0,EUW,Italy
ShuKee,EUW,Belgium
